city,count
Behlpa,100
Abhepur,58
Kharar,30
Thrissur,25
Gurgaon,23
Noida,21
Puducherry,20
Nacholi,20
Patiala,18
Thane,18
Panchkula,18
Dombivli,17
Aizawl,16
Sahibzada Ajit Singh Nagar,15
New Delhi,15
Tiruchirappalli,14
Ghaziabad,14
Srinagar,13
Faridabad,13
Dehradun,13
Jalandhar,12
Rohtak,12
Bathinda,11
Surat,11
Navi Mumbai,11
Moradabad,10
Greater Noida,10
Mumbai,10
Amritsar,10
Bhubaneswar,8
Vijayawada,8
Chennai,8
Ludhiana,8
Jammu,7
Bengaluru,7
Kochi,7
Jamshedpur,7
Kanpur,7
Secunderabad,7
Ranchi,7
Madurai,7
Pune,6
Agra,6
Varanasi,6
Rajkot,6
Visakhapatnam,6
Kolkata,6
Pimpri-Chinchwad,6
Thiruvananthapuram,6
Siliguri,6
Vadodara,5
Jaipur,5
Jodhpur,5
Hyderabad,5
Coimbatore,5
Lucknow,5
Panipat,5
Chandigarh,5
Aurangabad,4
