date,count
26-12-2021,0
02-01-2022,0
09-01-2022,0
16-01-2022,0
23-01-2022,0
30-01-2022,0
06-02-2022,0
13-02-2022,0
20-02-2022,8
27-02-2022,0
06-03-2022,0
13-03-2022,0
20-03-2022,0
27-03-2022,6
03-04-2022,0
10-04-2022,0
17-04-2022,0
24-04-2022,0
01-05-2022,6
08-05-2022,0
15-05-2022,0
22-05-2022,0
29-05-2022,0
05-06-2022,0
12-06-2022,0
19-06-2022,0
26-06-2022,0
03-07-2022,0
10-07-2022,0
17-07-2022,0
24-07-2022,0
31-07-2022,0
07-08-2022,0
14-08-2022,0
21-08-2022,0
28-08-2022,0
04-09-2022,0
11-09-2022,0
18-09-2022,0
25-09-2022,7
02-10-2022,0
09-10-2022,0
16-10-2022,0
23-10-2022,8
30-10-2022,14
06-11-2022,8
13-11-2022,8
20-11-2022,0
27-11-2022,0
04-12-2022,0
11-12-2022,0
18-12-2022,0
25-12-2022,0
01-01-2023,0
08-01-2023,0
15-01-2023,0
22-01-2023,0
29-01-2023,0
05-02-2023,0
12-02-2023,0
19-02-2023,0
26-02-2023,0
05-03-2023,0
12-03-2023,0
19-03-2023,0
26-03-2023,0
02-04-2023,0
09-04-2023,0
16-04-2023,0
23-04-2023,11
30-04-2023,0
07-05-2023,0
14-05-2023,0
21-05-2023,0
28-05-2023,0
04-06-2023,0
11-06-2023,0
18-06-2023,0
25-06-2023,0
02-07-2023,0
09-07-2023,0
16-07-2023,0
23-07-2023,0
30-07-2023,0
06-08-2023,0
13-08-2023,0
20-08-2023,0
27-08-2023,0
03-09-2023,0
10-09-2023,0
17-09-2023,0
24-09-2023,0
01-10-2023,0
08-10-2023,0
15-10-2023,0
22-10-2023,0
29-10-2023,13
05-11-2023,32
12-11-2023,14
19-11-2023,12
26-11-2023,8
03-12-2023,5
10-12-2023,8
17-12-2023,6
24-12-2023,6
31-12-2023,5
07-01-2024,6
14-01-2024,6
21-01-2024,7
28-01-2024,8
04-02-2024,6
11-02-2024,5
18-02-2024,6
25-02-2024,7
03-03-2024,5
10-03-2024,7
17-03-2024,0
24-03-2024,0
31-03-2024,0
07-04-2024,0
14-04-2024,0
21-04-2024,0
28-04-2024,11
05-05-2024,0
12-05-2024,0
19-05-2024,0
26-05-2024,0
02-06-2024,0
09-06-2024,0
16-06-2024,0
23-06-2024,0
30-06-2024,0
07-07-2024,0
14-07-2024,0
21-07-2024,0
28-07-2024,0
04-08-2024,0
11-08-2024,0
18-08-2024,0
25-08-2024,0
01-09-2024,0
08-09-2024,0
15-09-2024,0
22-09-2024,0
29-09-2024,0
06-10-2024,0
13-10-2024,0
20-10-2024,0
27-10-2024,13
03-11-2024,0
10-11-2024,14
17-11-2024,33
24-11-2024,14
01-12-2024,0
08-12-2024,0
15-12-2024,18
22-12-2024,0
29-12-2024,0
05-01-2025,16
12-01-2025,13
19-01-2025,0
26-01-2025,0
02-02-2025,12
09-02-2025,13
16-02-2025,14
23-02-2025,14
02-03-2025,0
09-03-2025,0
16-03-2025,0
23-03-2025,0
30-03-2025,0
06-04-2025,0
13-04-2025,0
20-04-2025,0
27-04-2025,0
04-05-2025,0
11-05-2025,0
18-05-2025,12
25-05-2025,0
01-06-2025,0
08-06-2025,9
15-06-2025,9
22-06-2025,10
29-06-2025,0
06-07-2025,0
13-07-2025,8
20-07-2025,8
27-07-2025,6
03-08-2025,31
10-08-2025,100
