year,week,outbreak_starting_date,reporting_date,state,district,status,cases,deaths,note,disease,is_respiratory,location_corrected
2025,16,2025-04-15,2025-04-15,andhra pradesh,kakinada,reported,22,0,,acute diarrheal disease,False,False
2025,16,2025-04-15,2025-04-17,assam,biswanath,reported,1,1,,chickenpox,False,False
2025,16,2025-04-19,2025-04-20,assam,dhemaji,reported,16,0,,food poisoning,False,False
2025,16,2025-04-19,2025-04-19,bihar,gopalganj,reported,5,0,,fever with rash,False,False
2025,16,2025-04-12,2025-04-15,bihar,madhubani,reported,21,0,,acute diarrheal disease,False,False
2025,16,2025-04-15,2025-04-16,bihar,patna,reported,8,1,,chickenpox,False,False
2025,16,2025-04-19,2025-04-19,bihar,vaishali,reported,9,0,,chickenpox,False,False
2025,16,2025-04-15,2025-04-15,chhattisgarh,surguja,reported,12,0,,food poisoning,False,False
2025,16,2025-04-16,2025-04-16,gujarat,narmada,reported,17,0,,measles,False,False
2025,16,2025-04-18,2025-04-19,gujarat,rajkot,reported,13,0,,acute diarrheal disease,False,False
2025,16,2025-04-16,2025-04-16,haryana,kurukshetra,reported,18,0,,hepatitis a,False,False
2025,16,2025-04-17,2025-04-17,haryana,nuh,reported,28,0,,chickenpox,False,False
2025,16,2025-04-18,2025-04-19,jammu and kashmir,baramulla,reported,26,0,,hepatitis a,False,False
2025,16,2025-04-16,2025-04-16,jammu and kashmir,kulgam,reported,47,0,,typhoid,False,False
2025,16,2025-04-15,2025-04-16,jharkhand,giridih,reported,9,0,,chickenpox,False,False
2025,16,2025-04-19,2025-04-19,jharkhand,lohardaga,reported,9,0,,fever with rash,False,False
2025,16,2025-04-14,2025-04-15,jharkhand,sahebganj,reported,64,0,,malaria,False,False
2025,16,2025-04-19,2025-04-19,jharkhand,simdega,reported,6,0,,chickenpox,False,False
2025,16,2025-04-18,2025-04-18,kerala,ernakulam,reported,12,0,,typhoid,False,False
2025,16,2025-04-18,2025-04-18,kerala,kollam,reported,67,0,,food poisoning,False,False
2025,16,2025-04-18,2025-04-19,kerala,palakkad,reported,31,0,,hepatitis a,False,False
2025,16,2025-04-12,2025-04-16,kerala,pathanamthitta,reported,10,0,,food poisoning,False,False
2025,16,2025-04-19,2025-04-19,kerala,thiruvananthapuram,reported,70,0,,food poisoning,False,False
2025,16,2025-04-10,2025-04-16,kerala,thrissur,reported,29,0,,hepatitis a,False,False
2025,16,2025-04-14,2025-04-14,madhya pradesh,bhopal,reported,40,0,,acute diarrheal disease,False,False
2025,16,2025-04-16,2025-04-16,madhya pradesh,datia,reported,10,0,,chickenpox,False,False
2025,16,2025-04-19,2025-04-19,madhya pradesh,mandsaur,reported,650,0,,food poisoning,False,False
2025,16,2025-04-17,2025-04-17,madhya pradesh,morena,reported,7,0,,measles,False,False
2025,16,2025-04-19,2025-04-19,madhya pradesh,rajgarh,reported,5,0,,food poisoning,False,False
2025,16,2025-04-16,2025-04-17,madhya pradesh,seoni,reported,13,0,,chickenpox,False,False
2025,16,2025-04-17,2025-04-17,maharashtra,dharashiv,reported,122,0,,food poisoning,False,False
2025,16,2025-04-15,2025-04-17,maharashtra,mumbai suburban,reported,17,0,,acute diarrheal disease,False,False
2025,16,2025-04-17,2025-04-18,maharashtra,nanded,reported,52,0,,food poisoning,False,False
2025,16,2025-04-15,2025-04-15,meghalaya,east khasi hills,reported,64,0,,chickenpox,False,False
2025,16,2025-04-17,2025-04-17,odisha,bhadrak,reported,51,0,,food poisoning,False,False
2025,16,2025-04-17,2025-04-19,tamil nadu,theni,reported,10,0,,hepatitis a,False,False
2025,16,2025-04-19,2025-04-19,tamil nadu,tiruchirappalli,reported,129,0,,food poisoning,False,False
2025,16,2025-04-18,2025-04-18,west bengal,alipurduar,reported,12,0,,chickenpox,False,False
2025,16,2025-04-19,2025-04-19,west bengal,purulia,reported,11,0,,acute diarrheal disease,False,False
2025,16,2025-04-04,,andhra pradesh,tirupati,reported late,23,0,,food poisoning,False,False
2025,15,2025-04-06,2025-04-07,assam,darrang,reported,64,0,,food poisoning,False,False
2025,15,2025-04-07,2025-04-07,assam,dibrugarh,reported,25,0,,shigellosis,False,False
