state,State/UT,average_mpce_2022_23 _rural,average_mpce_2022_2023_urban,average_mpce_2023_2024_rural,average_mpce_2023_2024_urban,percentage_increase_mpce_2023_24_from_2022_23_rural,percentage_increase_mpce_2023_24_from_2022_23_urban
andhra pradesh,Andhra Pradesh,4870,6782,5327,7182,9.4,5.9
arunachal pradesh,Arunachal Pradesh,5276,8636,5995,9832,13.6,13.8
assam,Assam,3432,6136,3793,6794,10.5,10.7
bihar,Bihar,3384,4768,3670,5080,8.5,6.5
chhattisgarh,Chhattisgarh,2466,4483,2739,4927,11.1,9.9
delhi,Delhi,6576,8217,7400,8534,12.5,3.9
goa,Goa,7367,8734,8048,9726,9.2,11.4
gujarat,Gujarat,3798,6621,4116,7175,8.4,8.4
haryana,Haryana,4859,7911,5377,8427,10.7,6.5
himachal pradesh,Himachal Pradesh,5561,8075,5825,9223,4.7,14.2
jharkhand,Jharkhand,2763,4931,2946,5393,6.6,9.4
karnataka,Karnataka,4397,7666,4903,8076,11.5,5.3
kerala,Kerala,5924,7078,6611,7783,11.6,10
madhya pradesh,Madhya Pradesh,3113,4987,3441,5538,10.5,11
maharashtra,Maharashtra,4010,6657,4145,7363,3.4,10.6
manipur,Manipur,4360,4880,4531,5945,3.9,21.8
meghalaya,Meghalaya,3514,6433,3852,7839,9.6,21.9
mizoram,Mizoram,5224,7655,5963,8709,14.1,13.8
nagaland,Nagaland,4393,7098,5155,8022,17.3,13
odisha,Odisha,2950,5187,3357,5825,13.8,12.3
punjab,Punjab,5315,6544,5817,7359,9.4,12.5
rajasthan,Rajasthan,4263,5913,4510,6574,5.8,11.2
sikkim,Sikkim,7731,12105,9377,13927,21.3,15.1
tamil nadu,Tamil Nadu,5310,7630,5701,8165,7.4,7
telangana,Telangana,4802,8158,5435,8978,13.2,10.1
tripura,Tripura,5206,7405,6259,8034,20.2,8.5
uttar pradesh,Uttar Pradesh,3191,5040,3481,5395,9.1,7
uttarakhand,Uttarakhand,4641,7004,5003,7486,7.8,6.9
west bengal,West Bengal,3239,5267,3620,5775,11.8,9.6
andaman and nicobar islands,Andaman and Nicobar Islands,7332,10268,7771,10453,6,1.8
chandigarh,Chandigarh,7467,12575,8857,13425,18.6,6.8
dadra and nagar haveli and daman and diu,Dadra and Nagar Haveli and Daman and Diu,4184,6298,4311,6837,3,8.6
jammu and kashmir,Jammu and Kashmir,4296,6179,4774,6327,11.1,2.4
ladakh,Ladakh,4035,6215,5010,7533,24.2,21.2
lakshadweep,Lakshadweep,5895,5475,6350,6377,7.7,16.5
puducherry,Puducherry,6590,7706,7598,8637,15.3,12.1
,All-India,3773,6459,4122,6996,9.2,8.3
