state,year,month,pop_female,pop_male,pop_total
all india,2011,july,183079000,197066000,380145000
all india,2011,march,181613000,195493000,377106000
all india,2011,october,184175000,198245000,382420000
all india,2012,july,187497000,201796000,389293000
all india,2012,march,186073000,200270000,386343000
all india,2012,october,188607000,202980000,391587000
all india,2013,july,191952000,206565000,398517000
all india,2013,march,190520000,205027000,395547000
all india,2013,october,193072000,207761000,400833000
all india,2014,july,196449000,211379000,407828000
all india,2014,march,195006000,209822000,404828000
all india,2014,october,197579000,212587000,410166000
all india,2015,july,200983000,216233000,417216000
all india,2015,march,199527000,214668000,414195000
all india,2015,october,202122000,217453000,419575000
all india,2016,july,205470000,221045000,426515000
all india,2016,march,204083000,219549000,423632000
all india,2016,october,206556000,222207000,428763000
all india,2017,july,209829000,225721000,435550000
all india,2017,march,208433000,224215000,432648000
all india,2017,october,210926000,226891000,437817000
all india,2018,july,214223000,230428000,444651000
all india,2018,march,212815000,228911000,441726000
all india,2018,october,215324000,231608000,446932000
all india,2019,july,218644000,235170000,453814000
all india,2019,march,217227000,233650000,450877000
all india,2019,october,219752000,236364000,456116000
all india,2020,july,223097000,239952000,463049000
all india,2020,march,221668000,238418000,460086000
all india,2020,october,224213000,241151000,465363000
all india,2021,july,227477000,244658000,472135000
all india,2021,march,226132000,243212000,469344000
all india,2021,october,228525000,245789000,474314000
all india,2022,july,231685000,249195000,480880000
all india,2022,march,230340000,247736000,478076000
all india,2022,october,232742000,250332000,483074000
all india,2023,july,235916000,253756000,489672000
all india,2023,march,234562000,252294000,486856000
all india,2023,october,236980000,254902000,491882000
all india,2024,july,240169000,258346000,498515000
all india,2024,march,238809000,256872000,495681000
all india,2024,october,241237000,259493000,500730000
all india,2025,july,244445000,262956000,507401000
all india,2025,march,243077000,261473000,504550000
all india,2025,october,245513000,264109000,509622000
all india,2026,july,248627000,267483000,516110000
all india,2026,march,247360000,266096000,513456000
all india,2026,october,249619000,268562000,518180000
all india,2027,july,252607000,271813000,524420000
all india,2027,march,251334000,270422000,521756000
all india,2027,october,253603000,272898000,526501000
all india,2028,july,256596000,276160000,532756000
all india,2028,march,255322000,274766000,530088000
all india,2028,october,257595000,277251000,534846000
all india,2029,july,260600000,280529000,541129000
all india,2029,march,259326000,279125000,538451000
all india,2029,october,261603000,281625000,543228000
all india,2030,july,264616000,284908000,549524000
all india,2030,march,263337000,283501000,546838000
all india,2030,october,265623000,286004000,551627000
all india,2031,july,268534000,289211000,557745000
all india,2031,march,267350000,287890000,555240000
all india,2031,october,269459000,290245000,559704000
all india,2032,july,272243000,293346000,565589000
all india,2032,march,271058000,292022000,563080000
all india,2032,october,273171000,294379000,567551000
all india,2033,july,275960000,297490000,573450000
all india,2033,march,274778000,296161000,570939000
all india,2033,october,276890000,298529000,575420000
all india,2034,july,279679000,301645000,581324000
all india,2034,march,278494000,300316000,578810000
all india,2034,october,280613000,302685000,583298000
all india,2035,july,283401000,305803000,589204000
all india,2035,march,282216000,304470000,586686000
all india,2035,october,284332000,306841000,591173000
all india,2036,july,287122000,309957000,597079000
all india,2036,march,285932000,308634000,594566000
all india,2036,october,288051000,310997000,599048000
andaman and nicobar islands,2011,july,67000,77000,144000
andaman and nicobar islands,2011,march,67000,76000,143000
andaman and nicobar islands,2011,october,68000,77000,145000
andaman and nicobar islands,2012,july,69000,78000,147000
andaman and nicobar islands,2012,march,68000,78000,146000
andaman and nicobar islands,2012,october,69000,79000,148000
andaman and nicobar islands,2013,july,70000,80000,150000
andaman and nicobar islands,2013,march,69000,80000,149000
andaman and nicobar islands,2013,october,70000,80000,151000
andaman and nicobar islands,2014,july,71000,82000,153000
andaman and nicobar islands,2014,march,71000,81000,152000
andaman and nicobar islands,2014,october,72000,82000,154000
andaman and nicobar islands,2015,july,73000,83000,156000
andaman and nicobar islands,2015,march,72000,83000,155000
andaman and nicobar islands,2015,october,73000,84000,157000
andaman and nicobar islands,2016,july,74000,85000,159000
andaman and nicobar islands,2016,march,74000,84000,158000
andaman and nicobar islands,2016,october,75000,85000,160000
andaman and nicobar islands,2017,july,76000,86000,162000
andaman and nicobar islands,2017,march,75000,86000,161000
andaman and nicobar islands,2017,october,76000,87000,163000
andaman and nicobar islands,2018,july,77000,88000,165000
andaman and nicobar islands,2018,march,76000,88000,164000
andaman and nicobar islands,2018,october,77000,88000,166000
andaman and nicobar islands,2019,july,78000,89000,168000
andaman and nicobar islands,2019,march,78000,89000,167000
andaman and nicobar islands,2019,october,78000,90000,168000
andaman and nicobar islands,2020,july,79000,91000,170000
andaman and nicobar islands,2020,march,79000,90000,169000
andaman and nicobar islands,2020,october,80000,91000,171000
andaman and nicobar islands,2021,july,81000,92000,173000
andaman and nicobar islands,2021,march,80000,92000,172000
andaman and nicobar islands,2021,october,81000,93000,174000
andaman and nicobar islands,2022,july,82000,94000,176000
andaman and nicobar islands,2022,march,82000,93000,175000
andaman and nicobar islands,2022,october,82000,94000,177000
andaman and nicobar islands,2023,july,83000,95000,179000
andaman and nicobar islands,2023,march,83000,95000,178000
andaman and nicobar islands,2023,october,84000,96000,179000
andaman and nicobar islands,2024,july,84000,97000,181000
andaman and nicobar islands,2024,march,84000,96000,180000
andaman and nicobar islands,2024,october,85000,97000,182000
andaman and nicobar islands,2025,july,86000,98000,184000
andaman and nicobar islands,2025,march,85000,98000,183000
andaman and nicobar islands,2025,october,86000,99000,185000
andaman and nicobar islands,2026,july,87000,100000,187000
andaman and nicobar islands,2026,march,87000,99000,186000
andaman and nicobar islands,2026,october,88000,100000,188000
andaman and nicobar islands,2027,july,88000,101000,190000
andaman and nicobar islands,2027,march,88000,101000,189000
andaman and nicobar islands,2027,october,89000,101000,190000
andaman and nicobar islands,2028,july,90000,102000,192000
andaman and nicobar islands,2028,march,89000,102000,191000
andaman and nicobar islands,2028,october,90000,103000,193000
andaman and nicobar islands,2029,july,91000,104000,195000
andaman and nicobar islands,2029,march,90000,104000,194000
andaman and nicobar islands,2029,october,91000,104000,196000
andaman and nicobar islands,2030,july,92000,106000,198000
andaman and nicobar islands,2030,march,92000,105000,197000
andaman and nicobar islands,2030,october,93000,106000,199000
andaman and nicobar islands,2031,july,94000,107000,201000
andaman and nicobar islands,2031,march,93000,107000,200000
andaman and nicobar islands,2031,october,94000,107000,201000
andaman and nicobar islands,2032,july,95000,108000,203000
andaman and nicobar islands,2032,march,94000,108000,202000
andaman and nicobar islands,2032,october,95000,109000,204000
andaman and nicobar islands,2033,july,96000,110000,206000
andaman and nicobar islands,2033,march,96000,109000,205000
andaman and nicobar islands,2033,october,96000,110000,207000
andaman and nicobar islands,2034,july,97000,111000,209000
andaman and nicobar islands,2034,march,97000,111000,208000
andaman and nicobar islands,2034,october,98000,112000,209000
andaman and nicobar islands,2035,july,98000,113000,211000
andaman and nicobar islands,2035,march,98000,112000,210000
andaman and nicobar islands,2035,october,99000,113000,212000
andaman and nicobar islands,2036,july,99000,114000,213000
andaman and nicobar islands,2036,march,99000,114000,213000
andaman and nicobar islands,2036,october,100000,114000,214000
andhra pradesh,2011,july,7322000,7418000,14740000
andhra pradesh,2011,march,7257000,7353000,14610000
andhra pradesh,2011,october,7370000,7467000,14837000
andhra pradesh,2012,july,7516000,7615000,15130000
andhra pradesh,2012,march,7450000,7549000,14999000
andhra pradesh,2012,october,7565000,7664000,15229000
andhra pradesh,2013,july,7712000,7814000,15526000
andhra pradesh,2013,march,7646000,7747000,15393000
andhra pradesh,2013,october,7762000,7864000,15626000
andhra pradesh,2014,july,7912000,8016000,15928000
andhra pradesh,2014,march,7845000,7948000,15793000
andhra pradesh,2014,october,7962000,8067000,16029000
andhra pradesh,2015,july,8114000,8221000,16335000
andhra pradesh,2015,march,8046000,8152000,16198000
andhra pradesh,2015,october,8165000,8273000,16438000
andhra pradesh,2016,july,8315000,8425000,16740000
andhra pradesh,2016,march,8250000,8359000,16609000
andhra pradesh,2016,october,8364000,8474000,16838000
andhra pradesh,2017,july,8510000,8623000,17133000
andhra pradesh,2017,march,8445000,8556000,17001000
andhra pradesh,2017,october,8560000,8672000,17232000
andhra pradesh,2018,july,8708000,8823000,17531000
andhra pradesh,2018,march,8642000,8755000,17397000
andhra pradesh,2018,october,8758000,8873000,17632000
andhra pradesh,2019,july,8909000,9026000,17935000
andhra pradesh,2019,march,8841000,8958000,17799000
andhra pradesh,2019,october,8959000,9077000,18036000
andhra pradesh,2020,july,9112000,9232000,18343000
andhra pradesh,2020,march,9043000,9163000,18206000
andhra pradesh,2020,october,9163000,9284000,18446000
andhra pradesh,2021,july,9311000,9434000,18745000
andhra pradesh,2021,march,9248000,9370000,18618000
andhra pradesh,2021,october,9359000,9482000,18841000
andhra pradesh,2022,july,9502000,9627000,19129000
andhra pradesh,2022,march,9438000,9562000,19000000
andhra pradesh,2022,october,9550000,9676000,19226000
andhra pradesh,2023,july,9695000,9823000,19517000
andhra pradesh,2023,march,9630000,9757000,19387000
andhra pradesh,2023,october,9743000,9872000,19615000
andhra pradesh,2024,july,9890000,10020000,19910000
andhra pradesh,2024,march,9824000,9954000,19778000
andhra pradesh,2024,october,9939000,10070000,20009000
andhra pradesh,2025,july,10087000,10220000,20307000
andhra pradesh,2025,march,10021000,10153000,20174000
andhra pradesh,2025,october,10137000,10270000,20407000
andhra pradesh,2026,july,10280000,10416000,20696000
