year,month,state,vehicle_class,fuel,value
2025,april,andaman and nicobar islands,bus,diesel,2
2025,april,andaman and nicobar islands,goods carrier,diesel,23
2025,april,andaman and nicobar islands,goods carrier,petrol,1
2025,april,andaman and nicobar islands,motor cycle / scooter,ev,1
2025,april,andaman and nicobar islands,motor cycle / scooter,petrol,387
2025,april,andaman and nicobar islands,motor cycle / scooter,petrol,83
2025,april,andaman and nicobar islands,motor cycle / scooter,ev,2
2025,april,andaman and nicobar islands,maxi cab,diesel,1
2025,april,andaman and nicobar islands,moped,petrol,3
2025,april,andaman and nicobar islands,motor cab,diesel,1
2025,april,andaman and nicobar islands,motor cab,petrol,9
2025,april,andaman and nicobar islands,motor cab,hybrid,6
2025,april,andaman and nicobar islands,motor car,diesel,11
2025,april,andaman and nicobar islands,motor car,petrol,123
2025,april,andaman and nicobar islands,motor car,petrol,22
2025,april,andaman and nicobar islands,motor car,hybrid,12
2025,april,andaman and nicobar islands,motor car,ev,3
2025,april,andaman and nicobar islands,motor cycle / scooter (for hire),petrol,15
2025,april,andaman and nicobar islands,bus,diesel,1
2025,april,andaman and nicobar islands,3-wheeler goods,diesel,1
2025,april,andaman and nicobar islands,3-wheeler passenger,petrol,3
2025,april,andhra pradesh,adapted vehicle,petrol,80
2025,april,andhra pradesh,adapted vehicle,petrol,1
2025,april,andhra pradesh,adapted vehicle,hybrid,1
2025,april,andhra pradesh,agricultural tractor,diesel,1479
2025,april,andhra pradesh,ambulance,diesel,37
2025,april,andhra pradesh,ambulance,petrol,16
2025,april,andhra pradesh,articulated vehicle,diesel,61
2025,april,andhra pradesh,bus,cng only,1
2025,april,andhra pradesh,bus,diesel,122
2025,april,andhra pradesh,construction equipment vehicle,diesel,245
2025,april,andhra pradesh,crane mounted vehicle,diesel,7
2025,april,andhra pradesh,e-rickshaw with cart (g),ev,16
2025,april,andhra pradesh,e-rickshaw with cart (g),ev,1
2025,april,andhra pradesh,e-rickshaw(p),ev,3
2025,april,andhra pradesh,e-rickshaw(p),ev,2
2025,april,andhra pradesh,educational institution bus,diesel,49
2025,april,andhra pradesh,excavator (nt),diesel,2
2025,april,andhra pradesh,fire tenders,diesel,3
2025,april,andhra pradesh,fork lift,diesel,7
2025,april,andhra pradesh,goods carrier,cng only,23
2025,april,andhra pradesh,goods carrier,diesel,2257
2025,april,andhra pradesh,goods carrier,ev,5
2025,april,andhra pradesh,goods carrier,petrol,48
2025,april,andhra pradesh,goods carrier,petrol/cng,4
2025,april,andhra pradesh,goods carrier,ev,8
2025,april,andhra pradesh,harvester,diesel,29
2025,april,andhra pradesh,motor cycle / scooter,cng only,109
2025,april,andhra pradesh,motor cycle / scooter,ev,479
2025,april,andhra pradesh,motor cycle / scooter,ethanol,2
2025,april,andhra pradesh,motor cycle / scooter,petrol,47683
2025,april,andhra pradesh,motor cycle / scooter,petrol,3737
2025,april,andhra pradesh,motor cycle / scooter,ev,3434
2025,april,andhra pradesh,motor cycle / scooter,ev,1
2025,april,andhra pradesh,motor cycle / scooter,petrol,8
2025,april,andhra pradesh,motor cycle / scooter,petrol,2
2025,april,andhra pradesh,maxi cab,cng only,11
2025,april,andhra pradesh,maxi cab,diesel,52
2025,april,andhra pradesh,maxi cab,petrol,10
2025,april,andhra pradesh,maxi cab,petrol,1
2025,april,andhra pradesh,maxi cab,hybrid,1
2025,april,andhra pradesh,moped,ev,3
2025,april,andhra pradesh,moped,petrol,724
2025,april,andhra pradesh,moped,petrol,87
2025,april,andhra pradesh,motor cab,diesel,77
2025,april,andhra pradesh,motor cab,petrol,144
2025,april,andhra pradesh,motor cab,petrol/cng,167
2025,april,andhra pradesh,motor cab,petrol,7
2025,april,andhra pradesh,motor cab,hybrid,38
2025,april,andhra pradesh,motor cab,hybrid,2
2025,april,andhra pradesh,motor car,diesel,1482
2025,april,andhra pradesh,motor car,diesel/hybrid,11
2025,april,andhra pradesh,motor car,ev,80
2025,april,andhra pradesh,motor car,petrol,2955
2025,april,andhra pradesh,motor car,petrol/cng,434
2025,april,andhra pradesh,motor car,petrol,833
2025,april,andhra pradesh,motor car,hybrid,417
